no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,total_assets,loan_status
1,1,1,5400000,20700000,8,753,25300000,0
1,1,1,7800000,27200000,16,454,48000000,1
1,0,1,8200000,19100000,8,619,67500000,0
2,0,0,8900000,28500000,6,367,69600000,1
1,0,0,1400000,3100000,20,384,7400000,1
2,0,0,1700000,5900000,16,610,8400000,0
0,0,0,5300000,19500000,12,802,31500000,0
3,0,0,6500000,25200000,10,858,48400000,0
2,0,0,5900000,14000000,8,599,38700000,0
4,0,1,9800000,27000000,2,395,54400000,1
3,0,1,7700000,16200000,6,380,55500000,1
1,0,0,7900000,27100000,10,803,58600000,0
4,0,0,3500000,8900000,20,809,25500000,0
4,1,0,2400000,6600000,2,722,18000000,0
5,0,0,9900000,35700000,10,392,64400000,1
0,0,0,3900000,14500000,8,545,22600000,1
2,1,1,7300000,28500000,10,799,44700000,0
0,0,1,6400000,21900000,12,727,54800000,0
4,0,0,7100000,19800000,18,530,38500000,1
2,1,0,8800000,19000000,14,637,60800000,0
5,0,0,7400000,21000000,4,561,55400000,0
2,1,0,4400000,12000000,20,421,31100000,1
3,0,1,8600000,30300000,14,459,49000000,1
3,1,0,6900000,26000000,14,828,41100000,0
4,0,0,9600000,27500000,20,679,75000000,0
2,0,1,8100000,25700000,8,455,63100000,1
0,1,0,2600000,9400000,18,879,11600000,0
3,0,1,9300000,26100000,14,636,66900000,0
2,1,1,2100000,5600000,16,426,9000000,1
4,1,1,9000000,21500000,14,508,71300000,1
3,1,1,7000000,19200000,4,768,49200000,0
3,1,0,2200000,6400000,20,667,21400000,0
5,0,1,7500000,28200000,2,440,44400000,0
1,0,1,8300000,16800000,2,366,60400000,1
2,1,0,300000,600000,2,383,2400000,1
0,1,1,300000,800000,4,603,1800000,0
3,0,0,3900000,14900000,4,728,29100000,0
0,1,0,6600000,20300000,6,549,44600000,1
0,0,0,4100000,10700000,8,855,26500000,0
5,0,1,1800000,5300000,12,461,11500000,1
3,1,1,7000000,16100000,16,379,40200000,1
2,1,1,5100000,13700000,6,559,35400000,0
1,1,1,300000,600000,8,816,2200000,0
4,1,1,4300000,11400000,2,560,26100000,0
0,0,1,3200000,12000000,14,645,22100000,0
4,1,1,4200000,11500000,6,551,34500000,0
0,1,1,9600000,22900000,8,515,60100000,1
4,0,0,1300000,3600000,10,657,9100000,0
3,1,0,2400000,9300000,2,682,14200000,0
0,0,0,600000,1600000,10,588,3100000,0
5,0,1,9600000,38000000,10,359,63300000,1
0,0,0,400000,1200000,4,766,2700000,0
4,0,0,5900000,19900000,14,469,46300000,1
0,0,1,700000,1400000,10,618,3700000,0
0,1,1,8600000,17700000,20,711,60200000,0
0,0,1,9000000,34000000,4,549,43300000,0
3,0,1,5100000,20400000,6,754,23700000,0
4,1,1,500000,1500000,6,461,3700000,1
2,0,0,1600000,3800000,10,837,12000000,0
0,0,1,9800000,23900000,14,459,42700000,1
4,0,0,7800000,29700000,20,614,55800000,0
4,1,0,6500000,24000000,16,373,33000000,1
5,0,1,7500000,26500000,12,512,49100000,1
4,0,1,8900000,23400000,18,781,50300000,0
4,0,1,1800000,5800000,14,305,9500000,1
1,1,1,7600000,27800000,6,447,33000000,1
4,0,1,1200000,4600000,6,757,8400000,0
5,0,1,2700000,10400000,2,723,15200000,0
1,1,1,4600000,10900000,12,463,19900000,1
2,1,0,6900000,18700000,10,699,44900000,0
4,0,1,8400000,25200000,2,308,55600000,0
0,0,0,300000,500000,18,702,2000000,0
2,1,1,9500000,37500000,4,456,74000000,0
3,0,1,1900000,5900000,8,651,10500000,0
3,1,0,4200000,14500000,20,840,23900000,0
4,0,1,2200000,7900000,18,848,16900000,0
5,0,1,7100000,19700000,4,727,50000000,0
4,0,0,3500000,11600000,10,335,24100000,1
5,1,0,400000,800000,18,304,3200000,1
2,0,1,8800000,34400000,2,712,58200000,0
0,1,0,1800000,6600000,10,737,14500000,0
1,0,1,7600000,29300000,14,690,57000000,0
1,0,1,1000000,3200000,4,888,7000000,0
2,1,1,8200000,27200000,10,839,47100000,0
5,1,1,3600000,12400000,8,333,24500000,1
5,0,0,9400000,23700000,18,862,53000000,0
5,1,0,2600000,9100000,4,309,17100000,0
5,1,0,9500000,30700000,10,823,63400000,0
0,0,1,3500000,11700000,14,649,19600000,0
5,1,1,9800000,35700000,10,726,71500000,0
4,0,0,800000,3100000,18,712,4100000,0
0,1,0,9700000,37300000,20,701,62900000,0
3,0,0,6200000,21300000,12,655,42300000,0
1,1,1,4400000,16600000,18,385,24600000,1
2,0,0,1800000,3800000,4,777,13800000,0
3,0,0,1700000,5300000,14,696,6300000,0
3,0,0,3900000,14100000,16,496,21300000,1
2,0,1,2200000,7900000,6,659,16200000,0
3,1,1,6300000,17700000,2,542,39400000,1
2,1,0,2200000,8700000,18,729,16100000,0
1,0,0,8100000,28400000,6,744,60300000,0
4,1,0,6800000,17000000,2,749,58300000,0
0,0,0,4700000,14800000,20,755,36400000,0
3,0,1,2200000,5300000,2,506,11900000,1
3,0,1,3500000,13000000,6,391,27200000,1
1,1,1,3500000,11600000,10,898,19300000,0
5,1,0,500000,1500000,12,527,2000000,1
5,1,0,9900000,35800000,20,470,81700000,1
1,0,0,8400000,25000000,12,694,50900000,0
1,0,0,5000000,18800000,14,325,35900000,1
4,1,1,5500000,13400000,10,880,23800000,0
5,0,1,3000000,11900000,14,459,26700000,1
3,1,1,9400000,21400000,10,323,61500000,1
4,0,0,7600000,29000000,8,739,61100000,0
0,1,1,5500000,16300000,10,724,31500000,0
1,0,0,3100000,7400000,18,487,23300000,1
3,0,0,7700000,27700000,4,439,54700000,0
2,0,0,9800000,25400000,2,655,53700000,0
3,1,0,3200000,9200000,14,443,16100000,1
2,0,0,700000,2600000,20,489,3600000,1
4,1,1,3100000,8600000,14,427,20500000,1
0,0,1,4500000,10500000,20,417,27200000,1
5,1,1,8900000,24800000,18,842,49300000,0
3,1,0,5900000,23200000,2,307,52900000,0
2,1,0,1500000,4500000,18,428,12400000,1
4,1,1,6300000,15200000,16,415,45900000,1
3,1,1,6500000,18200000,20,405,41200000,1
4,0,0,8000000,31500000,18,683,57900000,0
1,0,1,3300000,10600000,14,742,13800000,0
4,1,0,3900000,10000000,10,530,25300000,1
3,0,0,1600000,3500000,10,844,13500000,0
2,1,1,3900000,13900000,18,715,22600000,0
3,0,1,8000000,26300000,12,476,53700000,1
2,0,0,2200000,4800000,6,721,11000000,0
4,1,0,7600000,30300000,12,339,56400000,1
5,1,1,2700000,6800000,6,461,16400000,1
2,0,1,6300000,23200000,12,556,44800000,0
3,1,0,7700000,18700000,8,483,55500000,1
2,0,0,4500000,17200000,18,406,27500000,1
2,0,1,9400000,24800000,14,513,87100000,1
0,1,0,4600000,12600000,16,574,28300000,0
0,0,1,5200000,15700000,6,692,29100000,0
5,0,1,8000000,29800000,18,867,63800000,0
1,1,1,9900000,38500000,2,875,49200000,0
4,0,1,8500000,18600000,10,597,52400000,0
2,0,1,4900000,12000000,20,513,45400000,1
3,0,1,7000000,24200000,2,354,49000000,0
2,1,0,9600000,25900000,18,647,68800000,0
1,0,0,9700000,23700000,6,875,74400000,0
1,0,0,6200000,14300000,20,819,40200000,0
4,1,1,4100000,9600000,10,521,38000000,1
0,0,1,6100000,19900000,20,761,28000000,0
0,0,0,700000,1900000,18,572,4700000,0
3,0,0,6400000,24100000,12,571,51200000,0
4,0,1,3800000,7800000,20,891,29200000,0
1,1,0,4900000,14800000,12,895,40300000,0
2,0,0,2100000,6600000,20,580,16200000,0
2,0,0,6200000,23400000,8,605,51800000,0
4,1,0,1600000,5100000,8,705,10200000,0
1,1,1,1300000,5000000,20,423,7200000,1
5,1,1,7300000,22500000,2,846,40500000,0
2,1,0,2100000,5000000,4,542,11000000,1
5,1,0,600000,2400000,18,631,3900000,0
4,0,0,7000000,24500000,18,318,25900000,1
1,1,1,3000000,6800000,10,541,25100000,1
1,0,0,900000,2900000,20,782,5800000,0
2,0,0,9600000,35000000,2,888,62800000,0
0,0,0,1500000,3600000,14,747,5800000,0
0,0,1,5000000,18900000,6,641,39100000,0
3,0,1,500000,1700000,4,640,2600000,0
4,1,0,7600000,28100000,12,324,52000000,1
4,0,0,5500000,21200000,20,359,34500000,1
0,1,1,6600000,23300000,12,338,31400000,1
0,0,0,1400000,3200000,14,384,9300000,1
5,1,1,8800000,26600000,16,545,73700000,1
5,1,0,6200000,24200000,18,610,45900000,0
2,0,1,8300000,27900000,18,840,44400000,0
3,1,0,2400000,8100000,6,630,19400000,0
1,0,0,9100000,31200000,4,508,63400000,0
0,1,1,9500000,34900000,4,535,54500000,0
1,0,0,1200000,3400000,20,717,8000000,0
2,0,1,7700000,19300000,8,735,37300000,0
5,0,1,7800000,22000000,20,528,44200000,1
0,0,1,9400000,20000000,4,350,46600000,1
0,1,0,1700000,5700000,12,422,11900000,1
5,0,0,4000000,13700000,6,496,20800000,1
4,1,0,4200000,15500000,18,794,23600000,0
2,0,0,2400000,7700000,6,719,16000000,0
3,1,1,2700000,6100000,14,630,19600000,0
3,1,1,600000,1800000,4,843,3800000,0
2,0,0,4600000,15600000,2,764,31000000,0
3,0,0,7200000,17700000,4,662,46200000,0
0,1,0,4700000,15500000,16,311,33200000,1
4,1,0,4300000,10100000,2,606,26100000,0
5,0,0,4700000,10200000,16,874,36600000,0
4,1,1,8700000,30000000,4,370,79900000,0
1,0,0,7000000,20500000,10,414,53000000,1
2,1,0,600000,1100000,10,800,4600000,0
1,1,0,6800000,16900000,12,779,51800000,0
1,1,0,6400000,14100000,20,553,39800000,0
4,1,0,7600000,29900000,18,445,42800000,1
3,1,0,9000000,21400000,8,496,68000000,1
0,0,1,2400000,5900000,10,650,16400000,0
3,1,0,6800000,17900000,6,783,58900000,0
5,0,1,3500000,13500000,10,535,24400000,1
4,0,1,8900000,34000000,20,415,63000000,1
0,1,0,6000000,15300000,8,709,30500000,0
3,1,0,700000,2500000,14,819,5600000,0
0,1,1,6800000,17300000,18,841,43800000,0
4,1,1,5300000,10700000,12,700,41100000,0
1,0,1,1400000,4200000,4,881,10400000,0
2,0,1,1400000,4600000,4,804,10000000,0
4,1,0,9200000,21700000,6,653,65300000,0
1,0,1,7900000,29200000,2,663,70400000,0
0,1,0,4500000,17500000,10,495,29700000,1
1,1,0,3800000,9800000,8,335,21200000,1
5,0,1,1500000,4900000,6,618,8500000,0
3,1,0,1200000,2400000,12,480,7900000,1
4,1,0,1700000,4900000,18,843,15000000,0
4,0,0,5200000,14100000,16,483,34500000,1
1,1,0,1600000,5100000,12,548,9300000,1
4,0,1,6600000,16000000,16,379,48300000,1
5,1,1,9400000,26600000,20,771,71400000,0
4,0,1,300000,500000,2,353,2300000,1
5,1,0,4600000,11500000,16,668,25300000,0
3,1,1,6100000,21300000,2,387,30600000,0
0,1,1,1500000,4100000,12,789,12300000,0
0,0,1,400000,900000,2,855,2100000,0
0,1,0,8700000,33600000,14,751,50600000,0
3,1,0,7000000,21600000,12,739,42100000,0
4,0,0,4700000,13100000,14,492,26000000,1
4,1,1,7600000,23800000,16,896,30000000,0
1,1,1,9200000,24500000,4,545,59600000,1
5,1,0,9400000,36800000,20,891,58700000,0
0,0,0,4800000,15100000,6,848,23900000,0
3,1,1,600000,2400000,12,884,3400000,0
3,0,1,4900000,14300000,14,439,38400000,1
3,0,1,3300000,8500000,12,586,24300000,0
3,0,1,9100000,18800000,20,308,50000000,1
5,0,0,6100000,23500000,16,300,28600000,1
3,0,1,8400000,19600000,2,741,48700000,0
4,0,0,7900000,31400000,8,698,61700000,0
2,1,1,6100000,22300000,10,733,44600000,0
3,1,1,2000000,4200000,16,571,12700000,0
3,0,1,9900000,29900000,20,490,54100000,1
2,1,0,9500000,25400000,16,451,67100000,1
4,0,1,1900000,6800000,6,559,13200000,0
4,0,1,6900000,21400000,10,577,35900000,0
2,1,1,1500000,5000000,4,613,13000000,0
4,1,0,1900000,3800000,20,785,9200000,0
0,0,1,2300000,6000000,8,690,16400000,0
2,1,0,7800000,17100000,14,351,52600000,1
4,1,0,400000,1000000,10,447,1500000,1
0,0,1,9400000,19200000,20,708,74100000,0
2,0,0,9100000,21700000,12,549,83400000,1
1,0,1,9000000,18800000,8,797,43900000,0
4,1,0,7100000,14300000,14,537,48400000,1
3,0,0,800000,2500000,12,828,3900000,0
0,0,1,4500000,9600000,14,471,25500000,1
5,0,0,8500000,25400000,4,336,49300000,1
3,1,1,2500000,9800000,16,424,15000000,1
2,0,0,1500000,3300000,18,440,7900000,1
0,1,0,6200000,17300000,8,583,24500000,0
1,1,1,1300000,2900000,6,480,7500000,1
5,1,0,6600000,25800000,10,670,40900000,0
0,0,1,5300000,13700000,6,329,30400000,1
5,1,0,1400000,3000000,6,754,12900000,0
2,1,1,2900000,7800000,18,588,16300000,0
3,1,0,6500000,16500000,4,551,32200000,0
3,0,0,8300000,18900000,4,316,59400000,1
2,1,1,8900000,32200000,12,382,37200000,1
3,0,0,5300000,15000000,6,717,33500000,0
0,0,0,2800000,7300000,6,676,14600000,0
1,1,0,8000000,27800000,6,667,51000000,0
3,1,0,3900000,10500000,20,821,22800000,0
0,0,0,6200000,20100000,20,345,36700000,1
3,1,1,5900000,19200000,10,442,33000000,1
1,0,1,6000000,23300000,12,672,39300000,0
3,1,1,9100000,29300000,2,508,67600000,0
5,0,1,3400000,12300000,10,615,23500000,0
1,0,1,1800000,4400000,8,689,11100000,0
1,0,0,300000,1200000,18,747,1000000,1
1,0,1,9000000,22800000,10,412,52300000,1
1,0,0,6400000,16900000,2,703,36900000,0
5,1,0,5800000,22200000,16,884,34000000,0
5,0,1,2600000,8600000,18,651,11500000,0
4,1,0,6600000,17300000,14,793,39500000,0
2,1,0,6100000,21800000,4,407,35900000,0
2,1,0,4100000,11100000,8,390,17400000,1
3,1,1,300000,1000000,12,469,2000000,1
4,0,0,4700000,10400000,6,373,35100000,1
4,0,1,1500000,5800000,2,304,8700000,0
5,1,0,2700000,8300000,8,833,16000000,0
2,0,0,6900000,20900000,2,302,65500000,0
0,0,0,7600000,28700000,6,397,52600000,1
1,0,0,4100000,10000000,6,891,21400000,0
3,1,0,4100000,12200000,2,457,20200000,1
4,1,0,1600000,3200000,16,657,7200000,0
2,1,1,400000,1400000,2,480,2700000,0
5,0,1,4400000,17300000,20,840,23900000,0
2,1,1,3800000,8000000,12,866,16900000,0
0,1,0,4300000,17000000,8,619,31700000,0
1,0,1,9000000,33500000,2,748,54900000,0
3,1,1,9500000,25500000,12,881,71600000,0
2,0,1,6900000,13900000,8,829,49400000,0
3,1,0,4300000,11100000,6,312,22000000,1
3,1,0,6600000,21400000,10,467,46700000,1
1,0,1,5200000,14300000,18,650,28900000,0
3,0,1,400000,1100000,6,711,1900000,0
4,1,0,1300000,4100000,18,886,7700000,0
5,1,0,9700000,28400000,4,494,51700000,1
2,0,1,5400000,10900000,14,741,33300000,0
4,1,0,1200000,3300000,12,876,5300000,0
0,0,1,7000000,26400000,14,610,33500000,0
5,0,0,7600000,26000000,6,778,51700000,0
5,0,1,700000,1800000,14,571,2900000,0
3,0,1,7500000,25100000,18,554,53600000,0
0,1,1,2300000,6200000,8,712,18800000,0
5,1,1,5600000,11500000,4,695,36100000,0
0,1,1,5400000,10900000,20,366,30000000,1
1,1,1,1800000,5500000,10,426,14000000,1
0,1,0,2900000,6900000,10,320,14800000,1
3,1,1,1400000,4600000,8,543,7400000,1
2,0,0,2800000,11000000,16,525,18200000,1
0,1,1,3300000,13100000,12,812,21500000,0
0,1,0,7000000,25300000,14,697,46500000,0
1,1,0,3900000,15100000,12,527,30600000,1
1,1,0,5700000,17200000,4,512,35700000,0
0,0,0,4100000,9200000,4,671,25000000,0
1,0,1,2200000,8700000,20,539,15800000,1
5,1,0,2200000,7200000,10,532,12100000,1
3,1,1,2500000,7700000,16,485,14400000,1
0,1,1,900000,2100000,6,521,4600000,1
1,1,0,2900000,7400000,10,874,15000000,0
2,1,0,9800000,22900000,10,788,52800000,0
2,1,0,5200000,14800000,12,659,38900000,0
1,0,1,8600000,19600000,16,498,44100000,1
2,0,1,4800000,13200000,20,310,33500000,1
0,0,0,2000000,4700000,6,785,13100000,0
0,0,0,3600000,8700000,10,309,19200000,1
3,1,1,5300000,19600000,2,433,38400000,0
1,1,1,400000,1300000,18,801,2200000,0
3,0,1,6500000,22400000,6,488,57000000,1
0,1,1,2300000,6000000,16,756,13700000,0
3,0,0,1000000,2800000,4,757,7300000,0
5,1,0,3200000,10100000,6,828,26200000,0
3,0,1,3400000,7200000,12,733,17800000,0
0,1,0,9600000,38200000,8,421,63100000,1
3,1,0,5300000,20300000,4,872,37600000,0
3,0,0,4700000,17400000,10,393,41700000,1
3,0,0,9700000,37800000,12,700,57200000,0
5,0,0,8800000,21600000,18,613,65900000,0
5,0,0,5900000,13400000,6,455,42900000,1
4,0,1,2400000,7100000,16,871,19300000,0
4,0,1,7900000,21500000,16,497,38200000,1
0,0,0,1400000,2700000,2,649,10200000,0
0,0,1,3500000,10000000,14,709,21300000,0
4,0,0,3400000,13500000,12,705,24300000,0
2,0,0,6100000,23600000,2,476,33800000,0
2,1,1,3000000,7100000,4,819,18300000,0
5,1,1,3400000,9400000,16,535,24800000,1
0,0,1,400000,1200000,14,889,2200000,0
0,0,0,5900000,11800000,12,468,42800000,1
5,0,1,400000,800000,2,759,2200000,0
3,0,1,9000000,33600000,2,426,70400000,0
0,0,1,8800000,23600000,8,712,42100000,0
4,0,1,2000000,4700000,2,615,10300000,0
2,0,0,4700000,14000000,12,784,37800000,0
4,1,0,2700000,6100000,16,677,13700000,0
1,1,0,2600000,7900000,12,306,15300000,1
1,1,1,9000000,25400000,16,655,67100000,0
4,1,0,5100000,19400000,8,755,22700000,0
2,0,0,6600000,25800000,18,598,29200000,0
2,0,0,4400000,9800000,18,712,20800000,0
4,1,1,1500000,4600000,6,524,12100000,1
1,1,0,6200000,23100000,16,838,41000000,0
4,0,1,900000,2900000,6,560,6400000,0
3,1,0,7700000,26400000,12,759,39000000,0
2,0,1,600000,2400000,6,454,3300000,1
4,1,0,4300000,16500000,4,539,28100000,0
2,1,1,8200000,27800000,16,827,56900000,0
0,1,0,3500000,11900000,12,686,21800000,0
1,0,1,9900000,34100000,14,371,67000000,1
5,0,0,700000,1900000,4,784,4200000,0
1,0,1,2100000,7300000,16,826,14200000,0
2,1,0,3200000,10500000,12,502,20300000,1
0,0,0,2900000,7800000,8,367,15700000,1
0,1,0,7000000,18300000,6,541,41800000,1
1,0,0,3700000,13600000,16,608,18800000,0
3,1,1,4500000,13100000,12,570,28400000,0
3,0,0,200000,800000,18,752,900000,0
5,1,1,5600000,20500000,8,873,42200000,0
5,0,0,5400000,18600000,2,538,33200000,0
4,1,0,300000,1000000,10,819,2100000,0
1,0,1,7500000,29800000,18,770,43300000,0
5,1,1,2500000,9600000,6,345,13200000,1
4,0,1,3100000,8100000,12,730,24300000,0
1,0,1,7600000,19300000,20,835,38300000,0
3,1,1,500000,1700000,2,811,2600000,0
2,1,0,2700000,5900000,14,662,15900000,0
2,1,1,3500000,13300000,4,420,18400000,0
5,1,0,3700000,11700000,4,413,28600000,0
2,1,1,5600000,20000000,10,367,43800000,1
5,1,1,4800000,16400000,14,390,24300000,1
4,1,1,5200000,12200000,2,602,39300000,0
3,0,0,2900000,11500000,16,843,19900000,0
1,0,0,2700000,6800000,20,713,11800000,0
3,0,0,5000000,16200000,8,591,24300000,0
2,1,1,2700000,9400000,14,701,15600000,0
4,1,1,2800000,10000000,12,655,20300000,0
3,1,1,7300000,20000000,18,720,58200000,0
0,0,1,5900000,15100000,10,794,30600000,0
0,0,0,8100000,21300000,2,392,63300000,1
3,0,1,1900000,7100000,6,583,11700000,0
5,0,0,1800000,6800000,18,457,8500000,1
0,1,1,7600000,17800000,14,570,58700000,0
1,0,0,9100000,30100000,14,890,70200000,0
2,1,1,5300000,12300000,14,472,35300000,1
2,1,0,3700000,10900000,12,788,17200000,0
0,1,0,9500000,35300000,6,605,60800000,0
3,0,0,8300000,30500000,10,473,57800000,1
5,0,0,6400000,21500000,16,728,32500000,0
5,0,1,5300000,17800000,16,505,36400000,1
0,0,1,5600000,19300000,6,407,29600000,1
1,0,1,900000,1700000,18,464,3900000,1
0,0,1,2400000,7200000,20,514,14700000,1
1,0,0,9500000,23000000,10,627,70800000,0
2,1,1,7400000,14900000,20,627,55300000,0
4,1,1,1500000,3200000,10,858,7900000,0
3,0,1,8800000,30200000,8,607,53700000,0
5,1,1,4900000,14300000,4,663,39700000,0
1,1,1,8100000,26900000,6,522,48000000,1
2,1,1,2300000,9100000,20,610,15500000,0
5,1,1,3000000,6600000,16,462,21700000,1
2,1,1,3900000,9300000,8,591,26500000,0
4,0,1,1700000,6500000,20,636,11100000,0
0,1,1,2100000,4900000,10,359,8900000,1
4,0,1,9700000,25000000,4,542,64500000,1
5,1,1,3500000,11800000,4,642,20700000,0
5,1,1,1500000,5500000,4,414,6300000,0
3,1,1,8800000,26200000,20,865,69300000,0
3,0,0,900000,3100000,10,369,3700000,1
0,0,1,3500000,10800000,14,838,27100000,0
5,1,0,5500000,21200000,4,582,40600000,0
5,1,1,9800000,23200000,10,416,58400000,1
5,0,0,2100000,5500000,20,705,12600000,0
0,0,0,1800000,5700000,18,306,8500000,1
5,0,1,5800000,13000000,8,851,37200000,0
5,0,0,6700000,17200000,18,613,48200000,0
3,0,0,4300000,16300000,10,366,31400000,1
1,0,0,1200000,2800000,12,431,5100000,1
5,1,1,9700000,25900000,2,754,54200000,0
5,0,1,5400000,11200000,10,447,35600000,1
1,1,1,5300000,14100000,14,510,50400000,1
1,0,0,7300000,24200000,20,324,44000000,1
5,0,0,9500000,19200000,2,523,42700000,1
0,1,1,7200000,15600000,2,362,31800000,1
3,0,1,9000000,32900000,6,657,51700000,0
5,1,0,6500000,23300000,12,790,35300000,0
1,0,1,9500000,30500000,18,500,30600000,1
2,1,1,9900000,33200000,4,465,72700000,0
4,1,0,2900000,8700000,6,409,19600000,1
4,0,1,700000,1800000,20,626,2800000,0
5,1,0,4200000,13400000,16,545,34000000,1
3,1,0,4200000,11400000,10,654,31100000,0
0,1,0,7600000,26500000,6,515,47100000,1
2,0,1,7100000,18800000,12,838,27800000,0
1,1,1,4700000,16000000,14,406,26900000,1
0,0,1,9800000,23200000,10,573,65400000,0
0,0,1,9800000,38700000,2,611,56000000,0
0,1,0,5100000,13400000,16,649,28000000,0
0,1,1,3300000,7700000,12,775,21900000,0
3,0,0,4500000,12500000,12,469,29300000,1
0,0,1,3900000,12800000,18,587,27400000,0
3,0,1,3200000,9900000,10,316,27000000,1
2,0,0,3200000,10400000,10,556,29800000,0
2,1,0,9600000,31200000,12,578,52100000,0
2,1,1,8700000,18900000,2,554,35300000,0
2,1,1,1900000,6800000,6,892,12100000,0
2,1,1,2900000,10200000,10,315,16600000,1
0,1,0,6200000,12900000,10,695,32000000,0
0,1,0,5900000,20300000,4,806,25200000,0
4,1,1,3200000,12800000,8,638,18700000,0
1,1,1,1300000,5000000,4,610,9600000,0
2,1,1,1300000,3200000,4,810,11000000,0
1,0,0,8700000,33200000,4,866,69700000,0
3,1,0,6300000,23800000,10,760,41200000,0
3,0,0,4300000,11200000,6,556,34900000,0
3,1,1,6400000,23500000,12,684,60200000,0
5,1,1,7700000,25800000,18,578,50500000,0
2,1,0,6900000,23900000,12,814,47500000,0
0,1,0,4200000,14800000,20,510,29400000,1
4,1,0,3900000,9000000,2,674,31500000,0
0,0,1,2000000,4900000,14,570,12000000,0
1,1,0,500000,1700000,2,680,3600000,0
0,0,0,3500000,8800000,12,803,17500000,0
2,1,1,3100000,10700000,16,357,22600000,1
3,1,1,4900000,19000000,4,575,44300000,0
1,1,0,1000000,3600000,4,546,5600000,0
2,0,0,6700000,21400000,8,370,43700000,1
1,0,0,4100000,9400000,6,713,15200000,0
4,1,1,1600000,3800000,2,896,8400000,0
3,0,1,2400000,9200000,14,626,14400000,0
0,0,0,2200000,6400000,4,854,10300000,0
4,0,0,3200000,8400000,18,802,14200000,0
4,1,1,1600000,4400000,20,382,9100000,1
2,1,0,3900000,14900000,6,415,20600000,1
5,0,1,2000000,6300000,4,366,15700000,0
1,0,1,7600000,25400000,10,595,44200000,0
1,1,0,9800000,21300000,2,356,75600000,1
5,1,0,7900000,29900000,6,568,44300000,0
1,0,0,1600000,4000000,10,615,11800000,0
1,0,1,6400000,13900000,12,313,48400000,1
1,0,1,6400000,17900000,6,575,42600000,0
4,0,0,1600000,5500000,10,577,7100000,0
0,0,0,9200000,30700000,10,455,65000000,1
1,1,0,7800000,24900000,6,500,46300000,1
1,1,1,4000000,9400000,8,509,21400000,1
2,1,1,6100000,19400000,8,379,34500000,1
5,0,0,7100000,14500000,14,664,43100000,0
0,1,1,2500000,9900000,6,623,15800000,0
5,0,0,3200000,8700000,16,558,16000000,0
4,0,0,1700000,4300000,18,580,12200000,0
4,0,0,6300000,17600000,6,612,46000000,0
4,0,1,700000,2400000,14,705,2800000,0
4,0,1,1100000,2700000,18,301,9200000,1
1,1,1,8900000,32000000,16,711,32800000,0
3,0,0,300000,700000,20,735,2400000,0
1,1,0,2200000,5200000,14,682,11100000,0
3,1,0,3400000,13500000,10,348,24500000,1
0,0,1,7900000,23500000,20,750,57300000,0
3,1,1,5800000,18200000,16,835,29600000,0
0,0,1,9400000,20000000,6,389,52700000,1
2,0,0,4800000,18900000,4,866,36000000,0
3,1,0,7600000,26600000,4,689,38800000,0
0,1,0,5900000,17600000,16,645,48100000,0
1,0,1,4300000,10100000,2,797,29900000,0
5,0,0,6100000,17800000,6,849,37700000,0
5,0,0,5400000,19700000,20,423,39500000,1
1,1,1,5200000,11200000,2,370,43200000,1
5,1,0,8500000,31300000,12,378,73700000,1
4,1,0,900000,1900000,20,417,5500000,1
1,1,0,1400000,4100000,20,530,7200000,1
1,1,1,2400000,9300000,20,543,9900000,1
4,0,0,6300000,15000000,18,750,30400000,0
1,0,0,3100000,7600000,20,346,17800000,1
4,0,1,6900000,19000000,14,330,43600000,1
2,1,1,3000000,7400000,10,712,21500000,0
0,1,0,3100000,10100000,14,376,24900000,1
4,1,0,600000,1200000,14,338,3800000,1
4,1,1,4700000,13700000,14,600,43200000,0
1,0,0,2500000,6900000,20,495,17500000,1
0,0,0,9700000,30400000,4,300,81000000,0
4,1,1,7600000,20000000,18,691,48300000,0
1,0,0,8400000,24700000,8,519,52900000,1
3,0,1,3800000,15100000,20,540,23300000,1
3,1,1,3100000,11400000,16,562,17500000,0
2,1,0,5700000,21300000,10,323,34100000,1
1,0,1,5500000,19700000,10,312,40400000,1
1,1,1,200000,600000,2,511,1600000,0
3,1,1,3700000,13800000,10,621,22000000,0
2,1,1,1600000,4300000,20,512,12900000,1
4,0,0,3900000,11000000,2,786,22300000,0
3,1,1,700000,1600000,18,303,3700000,1
3,0,1,5800000,16700000,18,633,34900000,0
4,0,1,3800000,14000000,6,711,34400000,0
2,0,0,6400000,16900000,16,472,37900000,1
1,0,1,5500000,12100000,4,350,39600000,1
1,1,1,6800000,13700000,10,879,31900000,0
4,1,0,6700000,13400000,10,436,35500000,1
1,0,1,5300000,11500000,14,848,25300000,0
2,0,0,6600000,23200000,16,555,43000000,0
2,0,0,6600000,13100000,20,885,42000000,0
0,1,0,7600000,25200000,6,888,55600000,0
4,1,1,2500000,6100000,20,478,19400000,1
4,1,0,1100000,2500000,4,603,7700000,0
1,1,0,2300000,8200000,8,784,10700000,0
1,0,1,3300000,11700000,4,682,22900000,0
4,0,1,2600000,5900000,6,471,16100000,1
4,1,1,9300000,36700000,20,808,64800000,0
4,1,0,5300000,18500000,8,470,32000000,1
2,1,0,5400000,13800000,20,574,24700000,0
4,1,1,3500000,12000000,8,314,23100000,1
